Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,111.80","17,145.80","16,958.15","17,100.05","114.45","0.67","4,081.21","30,478.22","18,887.60","15,183.40","0.73","-4.63"
"HCLTECH","1,088.20","1,117.10","1,084.05","1,111.90","39.50","3.68","53.51","591.37","1,215.00","877.35","-7.30","-1.20"
"HINDALCO","389.25","398.05","386.55","396.25","11.30","2.94","98.61","387.49","636.00","308.95","-30.81","-8.87"
"ULTRACEMCO","7,159.15","7,308.90","7,159.15","7,295.00","190.40","2.68","3.84","278.05","7,492.00","5,157.05","15.69","2.18"
"UPL","705.50","717.85","696.80","714.00","17.60","2.53","25.69","182.94","848.00","607.50","-5.11","-6.25"
"JSWSTEEL","670.00","678.00","664.50","677.90","15.50","2.34","16.68","111.98","790.00","520.05","3.46","-6.35"
"HDFCLIFE","464.05","477.30","464.00","471.95","10.55","2.29","76.40","360.36","620.60","457.80","-8.77","-7.83"
"NESTLEIND","18,498.90","18,875.00","18,474.95","18,869.40","418.75","2.27","1.33","250.63","21,050.00","16,000.00","5.87","-1.12"
"TATACONSUM","698.00","708.65","694.40","708.00","14.00","2.02","21.11","148.79","861.15","686.60","-5.33","-1.80"
"TATASTEEL","106.45","107.35","105.00","107.15","2.10","2.00","489.62","520.22","138.67","82.70","-91.53","-1.92"
"GRASIM","1,570.00","1,592.35","1,556.00","1,589.60","29.15","1.87","6.96","109.76","1,839.50","1,276.60","-0.90","-0.94"
"KOTAKBANK","1,679.60","1,706.20","1,671.15","1,694.00","30.45","1.83","89.28","1,508.12","1,997.55","1,631.00","-3.78","-4.31"
"HDFC","2,547.30","2,579.40","2,513.50","2,577.45","45.85","1.81","49.79","1,269.15","2,933.80","2,026.00","12.45","-5.20"
"HDFCBANK","1,557.50","1,579.20","1,540.00","1,578.65","26.75","1.72","114.75","1,785.50","1,722.10","1,271.60","9.01","-5.68"
"ICICIBANK","831.80","838.40","818.65","838.00","14.10","1.71","111.04","919.95","958.20","669.95","18.36","-3.15"
"DRREDDY","4,405.70","4,463.15","4,383.75","4,457.00","73.25","1.67","6.19","273.69","4,625.00","3,789.85","13.01","-1.79"
"ADANIENT","1,901.00","1,918.85","1,845.00","1,874.00","30.20","1.64","59.70","1,116.79","4,190.00","1,017.45","6.60","7.10"
"BHARTIARTL","750.00","759.45","739.15","756.80","10.85","1.45","93.07","696.78","860.55","628.75","6.29","-2.37"
"INFY","1,430.00","1,442.90","1,411.40","1,423.65","19.55","1.39","90.90","1,296.85","1,923.30","1,355.00","-24.65","-10.64"
"BRITANNIA","4,325.95","4,370.00","4,305.60","4,367.00","55.80","1.29","2.95","128.28","4,669.20","3,060.05","31.79","-5.06"
"SBIN","528.65","531.60","520.10","531.00","6.50","1.24","187.87","989.25","629.55","430.70","7.76","-1.82"
"AXISBANK","835.00","841.50","823.00","839.75","9.20","1.11","77.62","645.81","970.00","618.25","16.01","-3.56"
"SBILIFE","1,068.00","1,091.10","1,066.15","1,074.00","11.35","1.07","15.69","168.77","1,340.35","1,033.20","-1.08","-7.55"
"WIPRO","377.20","378.35","373.85","376.85","4.00","1.07","45.22","170.07","616.00","370.00","-37.01","-6.97"
"LT","2,186.70","2,228.90","2,186.70","2,194.15","20.55","0.95","32.86","724.76","2,297.65","1,456.35","24.94","0.11"
"TECHM","1,123.35","1,132.50","1,114.20","1,127.00","9.25","0.83","25.07","282.06","1,574.95","943.70","-24.36","11.36"
